업체명,대표자명,주소,연락처
신안경영품질원,안규선,서울특별시 영등포구 당산동2가 영등포유통상가 30-2  2층바28호,02-2678-5944
국제산업경영컨설팅,이광식,인천광역시 서구 완정로34번길 47,032-567-2606
한국산업경영자문(주),양홍만,,
리&파트너스법률사무소,정해옥,"서울 서대문구 모래내로 411 102-801호 (홍제동,홍제금호어울림)",02-423-0229
인천정보산업진흥원,최순영,인천광역시 남구 경인로 229 (도화동) 19층(인천IT타워),032-250-2151
(주)씨이경영컨설팅,양석균,경기도 부천시 원미구 소향로13번길 14-16 (상동) 대맥프라자 704,032-328-9340
기업인증센터,김인봉,,
(주)글로벌경영컨설팅,강민수,경기도 군포시 공단로 356-54 (산본동) 금정삼성쉐르빌 B동 1902호,031-394-1324
솔로몬경영연구소,이인식,"경기도 용인시 기흥구 신촌로47번길 11 (보정동, 신촌마을포스홈타운2단지아파트) 포스홈타운 303-103",031-897-7371
아이비즈컨설팅그룹,장재영,"경기도 하남시 덕풍서로 45 (덕풍동, 휴먼시아꽃뫼마을2단지아파트) 휴먼시아203동 304호",070-7528-5545
중앙여자고등학교,박상학,,
주식회사 소상공인타임즈,조용식,"서울특별시 강남구 테헤란로 323 (역삼동) 704호 (역삼동, 휘닉스빌딩)",070-8260-1833
한빛경영연구소,노창주,광주광역시 북구 용봉로 45 (용봉동) 전남대학교 산학협력공학관 706호,062-530-0487
없음,조준희,,
(주)카플란경영컨설팅,장좌환,,
에스엠컨설팅그룹,임성래,,031-8041-0474
itcg(주),신철,전라남도 나주시 영산포로 200,061-334-3292
글로벌경영자문,전인수,,
세동경영컨설팅,천행관,광주광역시 서구 농성1동  269-8 거송빌딩 9층,062-366-0011
한국창업진흥원,김종열,,
(주)다산경영정보연구원,문승권,,
(주)삼정종합컨설팅,이종희,광주광역시 남구 백운로5번길 50 (백운동) 백운2동 644-32,062-227-2251
(주)한국기업경영기술원,이정복,대구광역시 동구 화랑로80길 13 2F,053-986-3246
대전테크노파크,전의진,대전광역시 유성구 테크노9로 35 (탑립동) 대전테크노파크 지역산업지원단,042-930-2945
(주)원컨설팅,조상종,,
한국소상공인진흥협회,문정,경상남도 창원시 성산구 안민로101번길 27,055-262-6300
앤유아이엔씨(&u inc),김승환,"서울특별시 강서구 화곡로13길 107 (화곡동, 화곡푸르지오) 110-103",02-6120-6096
(주)한국기업결영기술원,이정복,,
송정호,송정호,,
해서경영지도사무소,윤선희,경기도 고양시 일산동구 무궁화로 32-12 (장항동) 라페스타E동 4층,031-816-2382
씨엠씨경영컨설팅,김교명,경기도 화성시 경기대로 1061 (진안동) 3층,031-221-1893
여명환경클리닉(주),서효원,,
(주)티비에스파트너스,이동규,부산광역시 사상구 백양대로700번길 140 (괘법동) 신라대학교 공학관 211호,051-911-3330
엠투아이앤씨,윤승기,,
한국경영회계연구원,조현석,,
임동민세무회계사무소,임동민,,
창업경영기술연구원,유기연,,
다빈치경영컨설팅,황윤택,서울특별시 관악구 관악로 1 (신림동) IBK커뮤니케이션센터(64동) 창업지원센터 3호,
(주)에스이경영전략연구소,나춘수,,
CS 컨설팅,이길곤,부산광역시 북구 시랑로 48 (구포동) 웁스차이나 건물 4F,051-902-8158
휴먼웰경영컨설팅,심석진,"서울특별시 노원구 섬밭로 123 (공릉동, 공릉3단지아파트) 303-1011",02-2696-6657
경영시스템연구원,이제동,대구광역시 동구 경안로 766 (동호동) 2층,053-963-1581
다래기술경영컨설팅(프리랜서),강덕일,,
FRM,김장래,서울 양천구 신정동 목동아파트 14단지,010-5577-3777
(주)에스엠파트너스,이영섭,충북 청주시 흥덕구 복대동 154-1   3층,042-934-7241
(주)제이씨엠,이현태,광주 서구 치평동 디오빌 416호,062-234-3325
주식회사 에스엔비재무진단,신범식,서울 송파구 가락동 제일오피스텔 1507호,02-400-6110
(주)지평기업진단평가,김성식,서울특별시 서초구 강남대로10길 6 (양재동) 삼화빌딩 502호,070-7520-2309
WIN컨설팅그룹,권순석,부산 부산진구 범천동 범천LH아파트,051-892-6648
에스엠경영연구원,박상문,전북 군산시 수송동 100 세영리첼아파트 103-1205,010-8607-2731
KYP Comsulting.LLC,김형주,4808 Carriagepark Rd 서울 노원구 중계4동 주동 2단지 207동 103호,
ㅁ,반기수,"인천광역시 남동구 호구포로739번길 104 (구월동, 영빈맨션아파트) 영빈아파트902호",01087635321
(주)제이엘코리아,정영모,경기도 수원시 팔달구 권광로175번길 36 (인계동),010-9170-8551
주)기업인증센터,유재권,서울특별시 강동구 올림픽로93길 24-5 (암사동),010-6324-8808
무,안경찬,세종특별자치시 국책연구원1로 15 903-902,010-5421-4487
다호,박재현,경기도 수원시 팔달구 매산로 103 (교동),031-247-3275
RTB컨설팅,황지연,"경기 안양시 동안구 관양동 안양시 동안구 관평로 327번길 11, 현대빌딩 402",031-416-8189
BMI,임원호,대전 중구 중촌동 금호아파트 11-608,042-482-1371
경영명인,서형호,대구 달서구 월성동 월성푸르지오109동1702호,01025313000
조태규,조태규,"대구광역시 수성구 동원로 110 (만촌동, 메트로팔레스3단지) 메트로팔레스 308동 1406호",053-8856-2166
(주)싱크시드,김대석,경기도 광명시 한내로13번길 6-7 (소하동) 202호,02-802-3506
지도사등록자,최광민,부산 해운대구 좌동 대림1차 아파트 113동 104호,01030105003
한국전력,김영탁,전북 전주시 완산구 중화산동2가 현대에코르아파트 110동 1305호,063-2685-5790
일암컨설팅,안계수,경기 용인시 수지구 신봉동 신LG자이2차아파트 220-1105호,010-7562-0727
티엠에스컨설팅(주),강덕수,경상남도 창원시 의창구 차상로18번길 46 (팔용동),055-210-0907
덕경,이현희,서울 성동구 성수2가3동 성수아카데미타워 1510호,02)464-7339
성은테크,박남영,경상남도 창원시 의창구 신월로85번길 5 (신월동) (신월로85번길 5),055-299-8888
창조경영연구소,윤치영,서울특별시 동작구 서달로12가길 19 (흑석동) 3층,010-6322-6011
윤장섭 중소기업경영연구소,윤장섭,서울특별시 광진구 능동로16길 13 (화양동) 윤성빌딩 3층,02-455-8195
다도경영기술,천병국,경남 마산시 석전동 146-14 일우아파트 가동1503,010-7600-8010
우전성업,장재덕,경기 수원시 영통구 영통2동 신나무실6단지아파트 신원아파트644동403호,031-305-7005
한국종합경제연구원,권형남,"서울특별시 동작구 흑석한강로 27 (흑석동, 흑석한강푸르지오) 흑석한강푸르지오 102-404",02-584-1091
팀품질경영,최상준,경기 성남시 분당구 분당동 샛별마을라이프아파트 107-2005,010-9004-1402
(주)이엠포커스,유재성,서울 서초구 잠원동 라성빌딩 4층,070-4671-8703
(주)미래경영연구소,추순진,대구광역시 수성구 달구벌대로 3116-1 (시지동) 아트빌딩 4층,053-801-3312
(주)탑경영컨설팅,진영곤,경남 마산시 양덕동 94-1 메트로시티 106동 904호,010-8500-9031
주호식,주호식,부산 해운대구 우1동 롯데아파트 3-1004,051-741-7747
",",유만수,서울특별시 강서구 화곡로63길 93 (등촌동) 신송타워305호,02-3664-5729
JYC컨설팅,장영채,"서울특별시 강서구 양천로66길 6 (등촌동, 삼성한사랑1차아파트) 삼성한사랑아파트 102동 1305호",01033479405
아이티씨지,신철,경기 파주시 교하읍 다율리 청석마을대원효성아파트 912동 1504호,01052689908
미등록,우창완,서울 서대문구 북가좌동 144 삼성래미안 307-901,01090021247
센텀특허법률사무소,박명흠,부산광역시 해운대구 센텀중앙로 48 (우동) 에이스하이테크21빌딩 1004호,051-746-6751
미래경영컨설팅,김종희,경상남도 밀양시 상설시장2길 5 (내일동) 5층,010-2503-4576
고영심1,고영심,서울 강북구 송중동 경남아너스빌아파트 111,02-5411-2147
한국기업연구원,정관우,부산 금정구 청룡동 정룡로 33 사랑의빌딩 4층,051-508-8006
플러스 테크,이우택,서울특별시 중구 다산로 134 (신당동) 305호,02-2234-2013
멘토경영컨설팅,김용규,서울 관악구 서원동 10-519 신안빌라302호,02-907-7333
(주)한국창업경영기술원,심재한,경기도 안양시 동안구 시민대로 161 (비산동) 안양무역센터 8층 타호비즈니스센터 321호,031-380-6911
참길 기업경영연구소,장광식,대전 서구 유등로 641 7층,010-5458-9376
리건 경영컨설팅,김종원,광주광역시 북구 빛고을대로 791 (용두동),010-3234-8482
성하 경영기술연구원,이성하,제주특별자치도 제주시 남녕로 7 (노형동),064-742-8852
(주)부원영경영지도법인,부원영,서울특별시 도봉구 마들로 664-5 (도봉동) 그랜드타워 301호,02-6317-8972
김재문회계경영진단사무소,김재문,부산광역시 부산진구 새싹로 41-1 (부전동) 행복빌딩 303호,070-7379-4673
한국미래연구소,김흥수,경기도 수원시 영통구 광교마을로 156(광교마을 40단지) 4005동 1604호,010-8654-6900
정평경영컨설팅협동조합,전해운,"서울 동작구 사당3동 현대아파트 서울시 동작구 사당로 17길, 111 1동205호",01077368705
도일,이병욱,경기 수원시 장안구 조원동 한일타운 122-2002호,031-256-7290
(주)안심경영컨설팅,김형수,전라북도 전주시 덕진구 송천로 36 (송천동1가) 장한빌딩3층 (주)안심경영컨설팅,063-275-7525
Free,우호영,인천 부평구 부개2동 대동아파트 6-608,010-2662-8303
민 컨설팅,민희승,"서울특별시 강남구 양재대로55길 12 (일원동, 수서아파트) 110동 210호",01094450744
경영지도사,사공현,인천 연수구 선학동 선학아파트 115동 302호,01049147344
(주)LMC,이상철,서울 영등포구 여의도동 44,01052217516
Midas경영컨설팅,김갑인,경기 성남시 분당구 삼평동 봇들마을 907-304,031-703-1170
이충훈,이충훈,경기 고양시 덕양구 화정동 은빛마을563-1103,01035137000
새롬경영세무사무소,한정숙,경기 수원시 영통구 망포동 방죽마을영통뜨란채아파트 1006동 1604호,01089737555
박양호,박양호,서울특별시 강북구 수유로 35 (수유동),029891355
(주)한국경영정보,김종대,경상남도 창원시 의창구 신월로85번길 5 (신월동),055-299-8888
(주)에스이경영전략연구소,나춘수,서울 영등포구 양평동1가 기계상가 247  3동 207호,552-6363
위드경영지원파트너,이정복,대구 동구 용계동 은하아파트 A-408호,053-986-3246
펨토하이테크,배국철,경상남도 양산시 번영로 469 (소주동),055-365-2001
기업전략연구원,서정태,경기도 안산시 상록구 건건로 97 (건건동) .203호,01085458383
위너스 디앤씨,안경선,서울 금천구 시흥동 97,010-5929-8735
(주)동남기업컨설팅,오점식,경상남도 창원시 의창구 대산면 봉강가술로559번길 21,055-251-8089
에스엠에스코리아,한순덕,"경기도 용인시 수지구 심곡로 81 (상현동, 삼성쉐르빌)",025619411
원경영연구소,원형연,광주광역시 서구 상무화원로32번길 29-9 (치평동),0623821883
비즈컨설팅그룹,이용무,서울 동작구 대방동 주공아파트 207-1305,010-2264-0053
국제기계학원,정영식,경상남도 창원시 성산구 충혼로175번길 34-13 (반지동),055-248-2589
신평경영컨설팅,박연갑,광주광역시 서구 상무화원로12번길 4 (치평동),062-385-2580
큐피에스,김대기,경남 창원시 명서동 명곡아파트 두산위브아파티 117-404,010-5202-5872
에이더스,조원진,서울 강남구 역삼동 성지하이츠 3차 1316호,02-556-1682
(사)한국경영기술지도사회,이남기,서울특별시 강남구 테헤란로7길 12 (역삼동) 허바허바빌딩 4층 401호,02-569-8121
케이엠아이컨설팅,박희재,서울특별시 영등포구 국제금융로 108 (여의도동) 은하빌딩 6층,02-783-9434
와이에이치컨설팅,김영하,"서울특별시 강동구 상일로 152 (강일동, 고덕리엔파크1단지아파트) 고덕리엔파크아파트 104-503",011-9915-7530
에스앤엠테스크,김범수,경기 안양시 동안구 호계2동 337  흥화브라운빌 101-807,031-422-6900
지명,유지호,서울 강남구 역삼동 쌍용,0116756255
김계환,김계환,경남 창원시 용호동 대한적십자사경남지사 2층,055-266-9009
pine.hill.korea,신태호.신승수,"서울특별시 서초구 서초중앙로 206 (반포동, 삼호가든맨션) 삼호가든맨션디동 802호",02-6677-4787
코리아피엠씨,성남주,경상남도 창원시 의창구 북면 천주로 498,055-296-9889
(주)동행,윤석호,"서울특별시 송파구 중대로23길 20 (가락동, 우정에쉐르) 우정에쉐르 602호",010-4562-1017
한국경영기술상담(주),김수현,광주 북구 동림동 호반베르디움아파트 506-301호,010-5624-3535
(주)산업경영연구원,조형제,대구광역시 달서구 구마로 100 (본동),053-564-6008
(주)산업경영연구원,조형제,대구광역시 달서구 구마로 100 (본동),053-564-6008
인스프라,안성범,대전광역시 서구 대덕대로 408 (만년동) 테크노월드 725호,042-610-6400
인스프라,안성범,대전광역시 서구 대덕대로 408 (만년동) 테크노월드 705호,042-610-6400
에이치알프라임,김성희,서울 서초구 서초2동 1337-2 현대골든텔 816호,02-597-1231
CS경영파트너,금병춘,경기 부천시 오정구 삼정동 부천테크노파크쌍용3차 401동610호,070-8255-8936
혁신창업개발원,조병무,대전 동구 판암동 주공 아파트 202-1305,010-5436-5461
대원IB(주),허만석,서울특별시 금천구 가산디지털1로 84 (가산동) 에이스하이앤드타워 8차 1301호,02-6123-5655
에스앤씨경영컨설팅(주),인묘환,서울특별시 구로구 디지털로26길 5 (구로동) 에이스하이엔드타워 814호,02-6220-6220
(주)열림기업진단평가법인,김정현,인천광역시 남동구 은청로 16 (고잔동) 동아빌딩 304호,070-8835-3460
참조은컨설팅,정해옥,서울 송파구 잠실동 엘스아파트113-2701,010-3277-8171
중소기업상담회사,김석출,대구 서구 중리동 중리롯데캐슬아파트 118동 302호,010-5530-3546
한국재무설계,김상인,울산광역시 남구 삼산로 209 (달동) 주한빌딩10층,052*226-6625
세우경영자문,오세국,경상남도 창원시 의창구 중앙대로227번길 16 (용호동) 경남교원단체총연합회 본관 1층,055-248-4686
한국비즈컨설팅,이상화,서울특별시 마포구 와우산로10길 28 (상수동) 501호,01032110017
한국비즈컨설팅(주),이상화,"서울 서초구 양재동 266-1,  우진빌딩 201호",02-576-8305
SMB 컨설팅,문병선,경기 남양주시 호평동 중흥S-CLASS아파트 1317-1605,01097313272
한국전력,전재성,서울특별시 강남구 영동대로 512 (삼성동) 한전 기술기획처,02-3456-0000
주)신한경영법인,장순호,제주 제주시 이도2동 1016-19(1층) 제주시 의정동우회,064-721-3123
(주)인덕,정성희,경남 창원시 남양동 성원아파트 201동 403호,010-3592-6851
없음,,경남 창원시 팔용동 원풍벽산 308-606,010-4455-0079
진명인베스터,정진문,"서울특별시 동대문구 고산자로30길 15 (용두동, 진 하우스) 진하우스501호",010-3569-6403
진명인베스터,정진문,"서울특별시 동대문구 고산자로30길 15 (용두동, 진 하우스) 진하우스501호",02-548-9797
부래경영원,김재수,경기 군포시 당정동 경기도 군포시 당정동 대원칸타빌 105-701,010-3762-0211
신경영기술연구소,이수식,부산 북구 금곡동 한솔아파트 56-1,0513121162
000000,조현수,부산 금정구 구서동 선경3차 아파트,051
엠티오티아웃소싱,정상희,경기 동두천시 생연1동 우성아파트 101동 1411호,010-3361-1383
(주)탑기술경영연구원,이종진,인천광역시 중구 우현로 70 (용동) 4층,010-5221-7516
프라임경영연구원,윤진기,경기 수원시 팔달구 갓매산로76번길 9 (고등동) 201호,031-246-7799
(주)코스믹비지니스컨설팅,원경훈,경상남도 양산시 서창로 223 (삼호동),01025656502
[주]한국CM기술원,황효수,서울특별시 송파구 위례성대로 128 (방이동) CM빌딩5층,02-420-5388
스카이상담회사,신성일,경기 성남시 분당구 서현동 시범단지우성아파트 217-501,010-3662-3909
경영컨설팅,김명식,서울 관악구 서림동 신림현대아파트 105동 309호,01062418356
유피에스컨설팅(주),신석환,서울특별시 강남구 강남대로84길 26 (역삼동) 재창빌딩 4층,02-581-1600
(주)유통산업전략연구소,이경원,"서울특별시 서초구 태봉로2길 5 (우면동, 서초네이처힐5단지) 서초네이처힐@ 507-1202",02)565-4366
송무호,송무호,서울 관악구 은천동 관악벽산블루밍아파트 205동 1304호,01052573966
한관섭,한관섭,"서울특별시 영등포구 도신로29길 28 (영등포동, 영등포푸르지오) 영등포푸르지오아파트 215동 1204호",011-9908-0739
(주)국제그린경영컨설팅,홍민희,서울특별시 서초구 강남대로 309 (서초동) 코리아비지니스센터 616호,02-522-5790
펨토하이테크,이정록,경남 양산시 명곡동 양산대학 B.I센타 2303호,055-363-2185
대경경영컨설팅(주),김진숙,인천광역시 남동구 소래역로 28 (논현동) 조은프라자505호,032)832-2882
프라임경영기술컨설팅,안덕호,서울특별시 광진구 강변역로4길 68 (구의동) 리젠트오피스텔 1008호,1566-1298
(주)탑경영진단지도,김면복,인천 서구 검암동 서해아파트 102-301,0324296622
에너지코리아,강철배,"서울특별시 도봉구 우이천로48길 21 (쌍문동, 우이빌라) 우이빌라 1-207",993-2831
미주경영지도사무소,이명진,"경기도 부천시 소사구 성주로214번길 47 (심곡본동, 동남그린타워)",010-3333-3572
(사)중소기업경영전략연구원,최연희,서울 영등포구 여의도동 라이프오피스텔빌딩 815호,02-780-4304
엠피기술,정양배,전남 목포시 산정동 종원나이스빌107동302호,061-273-3767
(주)휴먼브리지컴,조규복,"서울특별시 구로구 가마산로 232 (구로동, 성원상떼뷰) 성원쌍떼빌 715호",010-2285-0067
000,김범대,인천 중구 운서동 창보밀레시티 201동 202호,032-752-3853
미래씨아이씨,이덕희,부산 북구 구포2동 대성아파트 2-607,01055502708
제일경영컨설팅(주),김진석,경기 수원시 팔달구 우만동 신성아파트103-802,010-6524-2540
cmc,김진석,경기 수원시 팔달구 우만동 신성아파트103-802,010-6524-2540
씨앤씨 경영컨설팅,윤준섭,서울 중구 회현동1가 남산SK리더스뷰 월로우 1803호,02-459-7332
bw경영컨설팅,한병우,서울 영등포구 영등포동7가 대동빌딩 304호,02-761-0124
김성철,김성철,"서울특별시 양천구 오목로 299 (목동, 목동트라팰리스 이스턴에비뉴) 목동트라팰리스 이스턴애비뉴 B동 2904호",010-9487-4758
신우,이성호,경상남도 창원시 의창구 중앙대로227번길 16 (용호동) 경남교원단체총연합회별관 1층(신우회계법인),0552640303
전략경영연구원,신종수,대구 동구 각산동 안심효성타운 102동101호,053-963-9266
(주)엠테크컨설팅,최해봉,경기 의정부시 신곡2동 삼성래미안아파트 767-1 105동 805호,031-852-3259
소망축산주식회사,하봉도,경상북도 영주시 원당로 135 (하망동),054-636-9975
서재관,서재관,서울 서대문구 영천동 삼호아파트 104-205,024239880
동방기술연구소,유재승,"서울특별시 서초구 동광로32길 7 (반포동, 삼창골든빌라) 삼창골든빌라 103동 107호",010-2321-3595
kms consuiting,김만석,경기 평택시 동삭동 동삭현대아파트 106-302,031-681-1041
정보처리,장승환,경기 성남시 분당구 금곡동 청솔마을대원아파트 808동1504호,010-9885-3300
그린벤처,박수성,서울특별시 노원구 공릉로58나길 19 (하계동),010-3219-8219
청수기술컨설팅,박광환,광주광역시 서구 학생독립로 13 (화정동) 호반아파트 101동 610호,062-373-0317
세계화경영컨설팅,류중선,"인천광역시 계양구 길마로78번길 3 (효성동, 현대1차아파트) 현대@ 104-1306",032-541-2689
(주)미래경영연구원,장성태,서울특별시 동작구 동작대로 83 (사당동) 헤라피스빌딩8층,02-5858-055
조상영,조상영,서울 양천구 신정동 중앙하이츠블랙102-1105,02-2619-0919
(주)솔로몬경영지도법인,김재각,서울특별시 용산구 한강대로 72 (한강로2가),02-749-1118
우호세무회계사무소,우동호,경기도 화성시 동탄중심상가2길 26-15 (반송동) 지성프라자 107호,031-613-6000
위드세무회계사무소,신용진,경상북도 구미시 송원서로2길 67 (원평동) 2층 위드세무회계사무소,054-454-5900
(주)케이경영연구소,김성환,서울특별시 서초구 서초중앙로 108 (서초동) 케이원빌딩 4층,02-523-9547
(사)한국열병합발전협회,박희웅,서울특별시 서초구 방배천로2길 3 (방배동),02-586-1681
김영섭,김영섭,경기도 수원시 팔달구 매산로116번길 14 (교동) 1층,0312220196
한국전기경영연구원,김영섭,경기 수원시 팔달구 매교동 142-19,031-222-0196
21c비즈니스창업,함정식,충청북도 청주시 흥덕구 1순환로 588 (봉명동),043-264-0522
(주)CE경영컨설팅,양석균,경기도 부천시 원미구 소향로13번길 14-16 (상동) 대맥프라자 704호,032-328-9340
비에스지컨설팅,백성기,경상북도 포항시 북구 양학로 128 (학잠동) 무궁화아파트 가동 106호,010-5523-0013
(주)엠아이씨,백정환,경기도 군포시 농심로60번길 12 (당정동),031 427 6012
지정노무법인,이황구,서울특별시 노원구 한글비석로 245 (중계동) 은행사거리 두타빌딩 A-205,011-449-9044
(주)케이엠경영컨설팅,전종명,서울 영등포구 영등포동1가 영등포2가 245,2677-6612
강의수,강의수,서울 은평구 응암동 115-4  501,02-306-3693
(주)비즈엠텍,정성윤,대구광역시 달서구 장기로 195 (본리동) 종우빌딩 3층 302호,053-522-1472
SMB 컨설팅과 마케팅(주),양태진,"경기도 고양시 일산동구 정발산로82번길 40 (마두동, 정발마을5단지건영빌라) 정발마을 503동 102호",010- 9658 2201
덕원,이명용,"부산광역시 동래구 충렬대로447번길 38 (안락동, 부산안락4 휴먼시아) 휴먼시아 405동 701호",010-9612-6669
솔로몬경영연구소,김내동,서울특별시 송파구 도곡로62길 5 (잠실동),02 566 3300
에스시 경영 연구원,서병수,경기 성남시 분당구 서현동 시범단지우성아파트 212동 601호,010-9913-9361
무역외환거래연구소&서울인터내,조규원,서울특별시 영등포구 의사당대로1길 11 (여의도동) 대우메종리브로 302호,02-304-3471
(주)CE경영컨설팅,양석균,경기 군포시 당정동 엘지아파트 103-403,031-477-9265
엔비코트주식회사,전학성,대전광역시 유성구 북유성대로155번길 46-3 (지족동) 201,042-476-5817
(주)한국첨단,허성원,대구 수성구 범어1동 380범어롯데102-203,0115371242
이종기,이종기,서울 동작구 신대방동 한국광물자원공사,028405652
(주)라스하이텍,최병철,서울 용산구 한강로3가 한강대우트럼프월드3차 102동3101호,02-749-8135
(주)넷비즈월드,박광봉,충청북도 청주시 청원구 오창읍 각리1길 97 충북SW지원센터,043-214-3981
한국전기경영연구원,김영섭,경기도 수원시 팔달구 매산로116번길 14 (교동),0312220196
(주)티앤비경영솔루션,남궁일,서울특별시 서초구 신반포로47길 18-10 (잠원동) 세환빌딩401호,02-546-0603
지혜경영컨설팅,신수항,경기 용인시 기흥구 보정동 성원아파트 106-502,010-9192-1741
우리회계법인,"최윤호,류영구",서울특별시 강남구 영동대로86길 17 (대치동) 육인빌딩 3층,02-552-6562
wcm 경영연구소,윤인호,서울 강남구 역삼1동 유니온센터오피스텔 1812호,02-555-4212
성원경영시스템연구원,조덕원,경북 구미시 임수동 구미공구상가 1동 314호,010-3531-5303
인포텍,박정철,전라북도 전주시 덕진구 구주길 21 (팔복동3가),063-211-4971
(주)에이알디씨홀딩스,박찬우,서울특별시 강남구 삼성로 533 (삼성동) 등우빌딩 301호,07088751240
무,무,"인천광역시 남구 매소홀로562번길 9-40 (문학동, 문학하이츠빌라) ( 문학동)",018-335-0255
현빈,김상윤,서울 송파구 위례성대로 18 금복빌딩 1207호(방이동),02-415-3310
(주)한주경영연구원,한연순,서울 강남구 개포1동 주공아파트 68동 501호,010-9089-0576
호남대학교산학협력단/퇴직,정호채,광주 광산구 첨단과기로 91-23 110-204호,010-2656-2315
창업경영연구소상원,황수석,경상남도 창원시 의창구 창이대로464번길 2 (용호동),055-282-9815
(주)케이넷,이천호,광주광역시 북구 첨단과기로 313 (대촌동) 광주하이테크센터 505호,062-952-1291
경남기업경영연구소,김홍진,"울산광역시 남구 거마로 89 (신정동, 송림아파트) 송림210호",010-3850-0259
성낙현세무회계사무소,성낙현,"경상남도 창원시 의창구 용지로 229 (용호동, 롯데아파트) 롯데종합상가 406호",055-275-3041
한국기술평가원,김재문,대전광역시 대덕구 오정로109번길 30 (오정동),042-627-9999
(주)미래경영개발원,이승용,대구 북구 태전동 한일@ 103/1502,010-4502-1479
(주)드림세무경영,장조남,광주광역시 서구 운천로 131 (쌍촌동) 금호베어스타운 A-205호,062-376-2003
심혜정,심혜정,울산광역시 남구 갈밭로 50 (삼산동) 5층,052-268-7268
태일세무경영연구원,노태일,"서울특별시 성북구 솔샘로 120 (정릉동, 정릉풍림아이원아파트) 풍림아이원 116-1601",010-6217-6637
투핸즈경영서비스,허천일,인천 남구 용현2동 유원아파트 1-1203gh,032-213-5002
(주)리베로파트너즈,임명식,경기 성남시 분당구 구미동 23-10,031-711-0009
에이스컨설팅그룹,박병호,울산 울주군 온양읍 외고산옹기길 53 남창리 270-3번지,
(주)한국첨단기술경영원,김희철,대구 달서구 도원동 롯데캐슬아파트 105동 606호,017-221-4736
(주)인터비주얼,안 종득,충청북도 청주시 청원구 오창읍 각리1길 97 충북S/W지원센터 409호,043-213-0034
(주)아이씨엔아이티,김은수,대구광역시 달서구 성서로72안길 5 (이곡동) 경우하이츠 202호,053-586-7090
(주)KPL경영기술원,강구봉,대구시 달성군 다사읍 대실역북로 청아람 208동 2105호,0535652259
아프로파트너스,김인수,서울특별시 강남구 언주로148길 7 (논현동) 정안빌딩 402호,02-3443-0552
원광경영연구원,김근모,부산광역시 남구 우암로256번길 24-1 (우암동),010-7257-5801
연합정보기술,조기식,서울 구로구 구로3동 코오롱디지털타워빌란트 610호,02-2103-5959
기업진단전문법인(주),홍태익,경기도 안산시 상록구 건건로 131 (건건동) 현대프라자 414호,031-501-9202
just sweet,양영모,경기 군포시 산본동 백합아파트 1124동 303호,010-6320-9152
(사)경기수원중소기업협회,이창주,경기도 수원시 권선구 산업로 85 (고색동),031-298-0898
엠비에이경영기술지원센터,정문효,경상남도 사천시 용현면 진삼로 1002,055-742-4201
nca,손기석,경기 부천시 원미구 중2동 그린타운아파트 1324동 102호,032-326-7089
삼성경영컨설팅,한명수,"경기도 수원시 장안구 정자천로189번길 47 (정자동, 연꽃마을 풍림아파트) 연꽃마을 풍림아파트 416/803호",010-9929-9001
현대정보리서치,최중철,서울 강남구 청담동 삼성청담공원아파트102/304,6677-0410
베스트웨이경영,이한일,서울 영등포구 영등포로64길 11 우성아파트 401동  1006호,02-841-8421
(주)메리트,이근열,충남 천안시 서북구 직산읍 삼은리 (재)충남테크노파크천안밸리 43-5,011-000-0000
(주)넥사비지니스그룹,정태용,대구광역시 달서구 중흥로 20 (송현동) 중소기업성장지원센터 403호,053-657-7233
(주)APEC CBC,이원행,서울 구로구 구로3동 현대아파트 303-605호,02-861-0114
블레싱컨설팅,이상배,서울특별시 동작구 성대로1길 9 (상도동),02-822-8982
세무법인 신세계 목포지점,김상균,전라남도 목포시 옥암로 41 (상동) 대화빌딩 4층,061-243-2104
(주)이앤씨플랜,성창수,서울특별시 영등포구 영등포로 162 (당산동1가) 대우조선빌딩1105호,010-9310-0076
한빛경영컨설팅,정석현,대구 달성군 다사읍 매곡리 죽곡하우젠트아너스빌아파트 102/501,053-323-8600
1,유정환,서울 강남구 역삼동 성보역삼빌딩,010-7441-1497
휴먼웰,심석진,"서울특별시 서초구 동산로12길 13-10 (양재동, 다명빌리지) 다명빌리지101호",010-3740-0954
휴먼웰,심석진,"서울특별시 서초구 동산로12길 13-10 (양재동, 다명빌리지) 101호",010-3740-0954
이노빌비앤씨,서철,인천 계양구 계산동 대우마이빌1차 202호,032)266-8088
(주)뉴텍인더스트리,문형선,경기 성남시 중원구 상대원1동 SKn테크노파크 넥스센터동 408호,031-776-3450
(주)헤드컴,이창호,경남 창원시 진해구 냉천로 262 105동1905호,055-249-2522
농촌진흥청,민승규,경기 수원시 권선구 구운동 농촌진흥청 농촌현장지원단 민원센터,031-299-2843
장승주세무회계,장승주,인천광역시 부평구 길주로 547 (갈산동) 부성빌딩 302호,032-529-4744
우리경영컨설팅(주),곽병진,대구광역시 달서구 이곡동로 39 (이곡동) 401호,053-592-6699
우리경영컨설팅(주),곽병진,대구광역시 달서구 이곡동로 39 (이곡동) 401호,053-592-6699
비즈닥(주),조보영,서울 중구 충무로1가 서울중앙우체국 사서함 1220호 비즈닥주식회사,02-571-1533
이아이비컨설팅,임인택,서울 구로구 구로2동 구로구청 1,010-5391-9105
